"Date","Price","Open","High","Low","Vol.","Change %"
"May 13, 2021","3,717.66","3,816.58","3,925.90","3,717.66","225.05K","-2.72%"
"May 12, 2021","3,821.67","4,173.86","4,352.11","3,821.67","130.89K","-8.44%"
"May 11, 2021","4,173.78","3,947.65","4,173.78","3,907.23","98.00K","5.66%"
"May 10, 2021","3,950.03","3,923.75","4,128.97","3,923.75","107.03K","0.71%"
"May 09, 2021","3,922.13","3,907.53","3,956.62","3,906.80","78.60K","0.37%"
"May 08, 2021","3,907.53","3,478.99","3,907.53","3,478.99","69.92K","12.32%"
"May 07, 2021","3,478.99","3,489.60","3,523.74","3,384.23","70.41K","-0.26%"
"May 06, 2021","3,488.07","3,524.00","3,524.00","3,461.01","76.65K","-1.03%"
"May 05, 2021","3,524.26","3,267.94","3,524.26","3,267.94","122.89K","9.00%"
"May 04, 2021","3,233.36","3,430.50","3,453.21","3,233.36","157.73K","-5.67%"
"May 03, 2021","3,427.54","2,952.01","3,427.54","2,952.01","85.44K","16.11%"
"May 02, 2021","2,952.01","2,944.09","2,952.01","2,912.03","49.94K","0.27%"
"May 01, 2021","2,944.09","2,772.18","2,944.09","2,772.18","55.50K","6.21%"
"Apr 30, 2021","2,771.94","2,755.60","2,771.94","2,734.70","59.04K","0.59%"
"Apr 29, 2021","2,755.61","2,747.14","2,755.61","2,716.59","80.69K","0.30%"
"Apr 28, 2021","2,747.41","2,664.91","2,747.41","2,659.98","118.76K","3.16%"
"Apr 27, 2021","2,663.30","2,532.25","2,663.30","2,532.25","92.01K","5.14%"
"Apr 26, 2021","2,533.18","2,319.16","2,533.18","2,319.16","150.16K","9.23%"
"Apr 25, 2021","2,319.16","2,215.03","2,319.16","2,215.03","161.52K","4.84%"
"Apr 24, 2021","2,212.13","2,367.72","2,367.72","2,212.13","194.30K","-6.57%"
"Apr 23, 2021","2,367.57","2,399.62","2,399.62","2,293.80","377.15K","-1.43%"
"Apr 22, 2021","2,401.94","2,357.29","2,583.38","2,357.29","270.78K","1.89%"
"Apr 21, 2021","2,357.29","2,330.22","2,426.31","2,307.00","169.59K","1.16%"
"Apr 20, 2021","2,330.22","2,161.03","2,330.22","2,139.04","198.46K","7.89%"
"Apr 19, 2021","2,159.74","2,235.98","2,262.50","2,124.61","136.33K","-3.47%"
"Apr 18, 2021","2,237.31","2,316.56","2,316.56","2,138.98","265.20K","-3.40%"
"Apr 17, 2021","2,315.96","2,422.08","2,422.08","2,315.96","72.13K","-4.38%"
"Apr 16, 2021","2,422.01","2,514.45","2,514.45","2,422.01","123.53K","-3.67%"
"Apr 15, 2021","2,514.30","2,432.88","2,514.30","2,432.88","69.22K","3.35%"
"Apr 14, 2021","2,432.88","2,299.47","2,432.88","2,299.47","115.17K","5.80%"
"Apr 13, 2021","2,299.40","2,136.59","2,299.40","2,136.59","77.78K","7.62%"
"Apr 12, 2021","2,136.59","2,144.55","2,144.86","2,136.59","60.88K","-0.33%"
"Apr 11, 2021","2,143.63","2,126.89","2,143.63","2,126.89","23.81K","0.86%"
"Apr 10, 2021","2,125.43","2,062.70","2,169.46","2,062.70","15.90K","3.04%"
"Apr 09, 2021","2,062.70","2,078.47","2,092.29","2,062.70","9.95K","-0.76%"
"Apr 08, 2021","2,078.45","1,961.75","2,078.45","1,961.75","18.42K","5.99%"
"Apr 07, 2021","1,961.01","2,113.48","2,113.48","1,961.01","36.36K","-7.20%"
"Apr 06, 2021","2,113.19","2,104.78","2,113.19","2,072.31","20.02K","0.37%"
"Apr 05, 2021","2,105.36","2,074.79","2,111.85","2,015.68","21.79K","1.47%"
"Apr 04, 2021","2,074.79","2,007.82","2,074.79","2,007.82","20.17K","3.33%"
"Apr 03, 2021","2,007.98","2,133.62","2,133.62","2,007.98","29.54K","-5.90%"
"Apr 02, 2021","2,133.99","1,967.42","2,133.99","1,967.42","23.86K","8.47%"
"Apr 01, 2021","1,967.33","1,920.69","1,967.33","1,909.88","23.96K","2.56%"
"Mar 31, 2021","1,918.24","1,841.40","1,918.24","1,815.51","28.97K","4.18%"
"Mar 30, 2021","1,841.29","1,816.66","1,841.29","1,795.44","13.17K","1.38%"
"Mar 29, 2021","1,816.19","1,687.90","1,816.19","1,687.90","17.01K","7.64%"
"Mar 28, 2021","1,687.27","1,711.85","1,712.81","1,687.27","12.72K","-1.44%"
"Mar 27, 2021","1,711.84","1,698.95","1,711.84","1,681.15","15.59K","0.76%"
"Mar 26, 2021","1,698.95","1,587.86","1,698.95","1,587.86","16.47K","7.00%"
"Mar 25, 2021","1,587.86","1,586.13","1,619.02","1,579.73","27.95K","0.12%"
"Mar 24, 2021","1,585.97","1,668.78","1,695.74","1,558.99","27.34K","-4.96%"
"Mar 23, 2021","1,668.77","1,682.86","1,700.43","1,665.81","21.87K","-0.85%"
"Mar 22, 2021","1,683.07","1,783.10","1,784.54","1,683.07","21.78K","-5.62%"
"Mar 21, 2021","1,783.34","1,805.54","1,805.54","1,767.43","16.05K","-1.21%"
"Mar 20, 2021","1,805.25","1,807.99","1,829.85","1,805.25","13.76K","-0.15%"
"Mar 19, 2021","1,807.90","1,777.75","1,808.76","1,777.75","15.52K","1.70%"
"Mar 18, 2021","1,777.75","1,823.19","1,828.74","1,777.75","18.46K","-2.47%"
"Mar 17, 2021","1,822.78","1,806.61","1,822.78","1,764.40","26.02K","0.95%"
"Mar 16, 2021","1,805.66","1,793.78","1,805.66","1,725.16","33.53K","0.70%"
"Mar 15, 2021","1,793.09","1,849.13","1,849.13","1,778.77","38.65K","-3.03%"
"Mar 14, 2021","1,849.13","1,922.48","1,922.48","1,849.13","25.13K","-3.80%"
"Mar 13, 2021","1,922.10","1,765.93","1,922.10","1,765.93","24.92K","8.84%"
"Mar 12, 2021","1,765.93","1,823.82","1,823.82","1,755.10","33.17K","-3.16%"
"Mar 11, 2021","1,823.61","1,794.88","1,823.61","1,788.97","41.29K","1.62%"
"Mar 10, 2021","1,794.51","1,869.88","1,869.88","1,772.25","41.00K","-3.99%"
"Mar 09, 2021","1,869.16","1,835.91","1,869.16","1,814.00","31.72K","1.99%"
"Mar 08, 2021","1,832.76","1,727.86","1,832.76","1,696.88","48.02K","6.23%"
"Mar 07, 2021","1,725.31","1,652.04","1,725.31","1,652.04","36.75K","4.61%"
"Mar 06, 2021","1,649.23","1,528.55","1,649.23","1,528.55","39.78K","7.95%"
"Mar 05, 2021","1,527.82","1,539.58","1,539.58","1,459.25","58.91K","-0.70%"
"Mar 04, 2021","1,538.58","1,567.76","1,572.83","1,538.58","57.77K","-1.88%"
"Mar 03, 2021","1,568.08","1,485.66","1,609.57","1,485.66","37.54K","5.49%"
